CountyName	DwellingTypeDescr	Year_of_Construction	TypeofRating	EnergyRating	BerRating	GroundFloorArea(sq m)	UValueWall	UValueRoof	UValueFloor	UValueWindow	UvalueDoor	WallArea	RoofArea	FloorArea	WindowArea	DoorArea	NoStoreys	CO2Rating	MainSpaceHeatingFuel	MainWaterHeatingFuel	HSMainSystemEfficiency	MultiDwellingMPRN	TGDLEdition	MPCDERValue	HSEffAdjFactor	HSSupplHeatFraction	HSSupplSystemEff	WHMainSystemEff	WHEffAdjFactor	SupplSHFuel	SupplWHFuel	SHRenewableResources	WHRenewableResources	NoOfChimneys	NoOfOpenFlues	NoOfFansAndVents	NoOfFluelessGasFires	DraftLobby	VentilationMethod	FanPowerManuDeclaredValue	HeatExchangerEff	StructureType	SuspendedWoodenFloor	PercentageDraughtStripped	NoOfSidesSheltered	PermeabilityTest	PermeabilityTestResult	TempAdjustment	HeatSystemControlCat	HeatSystemResponseCat	NoCentralHeatingPumps	CHBoilerThermostatControlled	NoOilBoilerHeatingPumps	OBBoilerThermostatControlled	OBPumpInsideDwelling	NoGasBoilerHeatingPumps	WarmAirHeatingSystem	UndergroundHeating	GroundFloorUValue	DistributionLosses	StorageLosses	ManuLossFactorAvail	SolarHotWaterHeating	ElecImmersionInSummer	CombiBoiler	KeepHotFacility	WaterStorageVolume	DeclaredLossFactor	TempFactorUnadj	TempFactorMultiplier	InsulationType	InsulationThickness	PrimaryCircuitLoss	CombiBoilerAddLoss	ElecConsumpKeepHot	ApertureArea	ZeroLossCollectorEff	CollectorHeatLossCoEff	AnnualSolarRadiation	OvershadingFactor	CylinderStat	SolarStorageVolume	VolumeOfPreHeatStore	CombinedCylinder	ElectricityConsumption	SWHPumpSolarPowered	ChargingBasisHeatConsumed	gsdHSSupplHeatFraction	gsdHSSupplSystemEff	DistLossFactor	CHPUnitHeatFraction	CHPSystemType	CHPElecEff	CHPHeatEff	CHPFuelType	SupplHSFuelTypeID	gsdSHRenewableResources	gsdWHRenewableResources	SolarHeatFraction	DeliveredLightingEnergy	DeliveredEnergyPumpsFans	DeliveredEnergyMainWater	DeliveredEnergyMainSpace	PrimaryEnergyLighting	PrimaryEnergyPumpsFans	PrimaryEnergyMainWater	PrimaryEnergyMainSpace	CO2Lighting	CO2PumpsFans	CO2MainWater	CO2MainSpace	GroundFloorArea	GroundFloorHeight	FirstFloorArea	FirstFloorHeight	SecondFloorArea	SecondFloorHeight	ThirdFloorArea	ThirdFloorHeight	ThermalBridgingFactor	ThermalMassCategory	PredominantRoofTypeArea	PredominantRoofType	LowEnergyLightingPercent	TotalDeliveredEnergy	DeliveredEnergySecondarySpace	DeliveredEnergySupplementaryWater	LivingAreaPercent	CO2SecondarySpace	CO2SupplementaryWater	PrimaryEnergySecondarySpace	PrimaryEnergySupplementaryWater	HESSchemeUpgrade	RoomInRoofArea	PurposeOfRating	DateOfAssessment	FirstEnergyTypeId	FirstEnergyType_Description	FirstEnerProdComment	FirstEnerProdDelivered	FirstPartLTotalContribution	FirstEnerProdConvFactor	FirstEnerProdCO2EmissionFactor	FirstEnerConsumedComment	FirstEnerConsumedDelivered	FirstEnerConsumedConvFactor	FirstEnerConsumedCO2EmissionFactor	SecondEnergyTypeId	SecondEnergyType_Description	SecondEnerProdComment	SecondEnerProdDelivered	SecondPartLTotalContribution	SecondEnerProdConvFactor	SecondEnerProdCO2EmissionFactor	SecondEnerConsumedComment	SecondEnerConsumedDelivered	SecondEnerConsumedConvFactor	SecondEnerConsumedCO2EmissionFactor	ThirdEnergyTypeId	ThirdEnergyType_Description	ThirdEnerProdComment	ThirdEnerProdDelivered	ThirdPartLTotalContribution	ThirdEnerProdConvFactor	ThirdEnerProdCO2EmissionFactor	ThirdEnerConsumedComment	ThirdEnerConsumedDelivered	ThirdEnerConsumedConvFactor	ThirdEnerConsumedCO2EmissionFactor	FirstBoilerFuelType	FirstHeatGenPlantEff	FirstPercentageHeat	SecondBoilerFuelType	SecondHeatGenPlantEff	SecondPercentageHeat	ThirdBoilerFuelType	ThirdHeatGenPlantEff	ThirdPercentageHeat	SolarSpaceHeatingSystem	TotalPrimaryEnergyFact	TotalCO2Emissions	FirstWallType_Description	FirstWallDescription	FirstWallArea	FirstWallUValue	FirstWallIsSemiExposed	FirstWallAgeBandId	FirstWallTypeId	SecondWallType_Description	SecondWallDescription	SecondWallArea	SecondWallUValue	SecondWallIsSemiExposed	SecondWallAgeBandId	SecondWallTypeId	ThirdWallType_Description	ThirdWallDescription	ThirdWallArea	ThirdWallUValue	ThirdWallIsSemiExposed	ThirdWallAgeBandId	ThirdWallTypeId	SA_Code	prob_smarea_error_0corr	prob_smarea_error_100corr	RER	RenewEPnren	RenewEPren	CPC	EPC
Co. Dublin	End of terrace house	1974	Existing       	E1	316.88	117.61	1.36	1.16	0.73	2.69	3.0	97.21	77.52	77.52	17.94	5.48	2	63.75	Mains Gas                     	Mains Gas                     	78.5	NO	0	31.57	0.95	0.1	60.0	78.5	0.95	8	28	2	2	0	1	1	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	1	NO	0.0	0.0	2	1	1	NO 	0	NO 	NO 	1	NO 	NO 	0	370.486	YES	NO 	NO 	NO 	None                          	None                          	101	0.0	0.6	1.3	Factory Insulated             	30	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													1060.826	214.0	5686.718	22055.327	2567.2	517.88	6255.39	24260.86	555.873	112.136	1154.404	4477.231	77.52	2.41	40.09	2.66	0.0	0.0	0.0	0.0	0.15	High                	34.53	Pitch Roof-Insul.on Ceiling   	9.0	32072.346	3055.475	0.0	11.079	1197.746	0.0	3666.57	0.0	0	0.0	Social housing letting	Nov 11 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity	Now pumped with 70mm Gross 66.	49.65	0.36	No	5	4	Concrete Hollow Block	Extension gross 54.15m2	47.56	2.4	No	5.0	7.0								267037001	2.633546e-06	0.0025					
Co. Kildare	Detached house	2000	Existing       	C2	181.1	274.81	0.55	0.26	0.41	3.1	3.0	225.44	155.19	155.19	47.52	1.85	2	33.83	Mains Gas                     	Mains Gas                     	70.0	NO	0	25.1	0.95	0.1	63.0	70.0	0.95	2	1	2	2	2	0	16	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	3	NO	0.0	0.0	2	1	1	YES	0	NO 	NO 	1	NO 	NO 	0	616.955	YES	NO 	NO 	NO 	None                          	None                          	200	0.0	0.6	0.9	Factory Insulated             	20	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													1261.405	175.0	8281.127	30246.564	3052.6	423.5	9109.24	33271.22	660.976	91.7	1681.069	6140.052	155.19	2.71	119.62	2.46	0.0	0.0	0.0	0.0	0.15	Medium              	155.19	Pitch Roof-Insul.on Ceiling   	100.0		3556.073		10.6728	721.883		3911.68	0.0	0	0.0	Sale	Nov 14 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		225.44	0.55	No	9	4															87052014	2.633546e-06	0.0025					
Dublin 20	Mid-floor apartment	2007	Existing       	B3	127.34	65.03	0.34	0.0	0.0	2.2	1.36	39.46	0.0	0.0	10.71	1.89	1	24.96	Mains Gas                     	Mains Gas                     	78.7	NO	0	28.07	0.95	0.0	0.0	78.7	0.95	1	28	2	2	0	0	3	0	YES	Natural vent.	0	0	Insulated Conctete Form       	No                            	100	3	NO	0.0	0.0	1	1	1	YES	0	NO 	NO 	1	NO 	NO 	0	255.102	YES	NO 	NO 	YES	None                          	None                          	120	0.0	0.6	1.0	Factory Insulated             	35	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													327.694	175.0	2383.355	2440.045	793.02	423.5	2621.69	2684.05	171.712	91.7	483.821	495.329	65.03	2.67	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              			88.0			845.654	36.537		345.872	0.0	1758.96	0	0.0	Sale	Nov 13 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													225mm Solid brick	To corridor	24.14	0.322	Yes	10	2	225mm Solid brick		15.32	0.37	No	10.0	2.0								267100092/01	0.0025	0.0025					
Co. Mayo	Detached house	2003	Existing       	C3	216.43	112.16	0.3	0.14	0.47	2.8	3.0	137.23	56.08	56.08	18.45	1.95	2	54.3	Heating Oil                   	Heating Oil                   	83.6	NO	0	51.09	0.95	0.1	30.0	83.6	0.95	6	28	2	2	1	0	2	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.6	1	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	359.271	YES	NO 	NO 	YES	None                          	None                          	96	0.0	0.6	1.3	Loose Jacket                  	50	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													962.843	299.0	3773.555	10101.827	2330.08	723.58	4150.91	11112.01	504.53	156.676	1026.407	2747.697	56.08	2.46	56.08	2.68	0.0	0.0	0.0	0.0	0.15	Medium-high         	52.99	Pitch Roof-Insul.on Ceiling   	10.0	19401.661	2971.436	1293.0	17.8852	1072.688	528.837	3268.58	2689.44	1	0.0	Grant Support	Nov 12 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity		137.23	0.3	No	9	5															157011008	5.5623e-07	0.0025					
Galway City	Top-floor apartment	2003	Existing       	E2	378.41	43.48	0.7	0.2	0.0	2.6	1.36	47.49	43.48	0.0	8.3	1.85	1	81.94	Electricity                   	Electricity                   	100.0	NO	0	92.04	1.0	0.0	0.0	100.0	1.0	1	28	2	2	0	0	1	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	3	NO	0.0	0.0	3	4	1	NO 	0	NO 	NO 	0	NO 	NO 	0	203.017	YES	NO 	NO 	NO 	None                          	None                          	150	0.0	1.08	0.81	Factory Insulated             	50	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													196.545	169.0	2641.048	4843.976	475.64	408.98	5493.38	10075.47	102.99	88.556	1080.189	1981.186	43.48	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	43.48	Pitch Roof-Insul.on Ceiling   	100.0			0.0	49.977		0.0	0.0	0.0	0	0.0	Sale	Nov 12 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		34.94	0.55	No	9	4			12.55	1.13	No	9.0	14.0								68014003	0.074716745601	0.180738489249					
Galway City	Mid-floor apartment	2003	Existing       	E1	325.58	46.51	0.8	0.0	0.0	2.6	1.36	45.76	0.0	0.0	8.77	1.85	1	70.5	Electricity                   	Electricity                   	100.0	NO	0	78.14	1.0	0.0	0.0	100.0	1.0	1	28	2	2	0	0	2	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	4	NO	0.0	0.0	3	4	1	NO 	0	NO 	NO 	0	NO 	NO 	0	210.493	YES	NO 	NO 	NO 	None                          	None                          	255	0.0	1.08	0.81	Factory Insulated             	50	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													294.826	169.0	3037.25	3703.327	713.48	408.98	6317.48	7702.92	154.489	88.556	1242.235	1514.661	46.51	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              			60.0			0.0	37.8843		0.0	0.0	0.0	0	0.0	Sale	Nov 12 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		26.31	0.55	No	9	4			19.45	1.13	No	9.0	14.0								68014003	0.074716745601	0.180738489249					
Galway City	Mid-floor apartment	2003	Existing       	E1	325.35	46.08	0.8	0.0	0.0	2.6	1.36	45.6	0.0	0.0	8.77	1.85	1	70.45	Electricity                   	Electricity                   	100.0	NO	0	78.18	1.0	0.0	0.0	100.0	1.0	1	28	2	2	0	0	2	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	4	NO	0.0	0.0	3	4	1	NO 	0	NO 	NO 	0	NO 	NO 	0	209.413	YES	NO 	NO 	NO 	None                          	None                          	255	0.0	1.08	0.81	Factory Insulated             	50	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													208.38	169.0	3028.365	3740.38	504.28	408.98	6299.0	7779.99	109.191	88.556	1238.601	1529.815	46.08	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              			100.0			0.0	37.9123		0.0	0.0	0.0	0	0.0	Sale	Nov 12 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		26.15	0.55	No	9	4			19.45	1.13	No	9.0	14.0								68014003	0.074716745601	0.180738489249					
Co. Meath	Detached house	1990	Existing       	D1	238.76	146.78	0.59	0.13	0.56	2.7	0.0	164.66	84.61	84.61	30.17	0.0	2	60.76	Heating Oil                   	Heating Oil                   	79.0	NO	0	48.38	0.95	0.1	30.0	79.0	0.95	8	28	2	2	1	0	4	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	4	NO	0.0	0.6	1	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	427.389	YES	NO 	NO 	YES	None                          	None                          	95	0.0	0.6	1.17	Loose Jacket                  	50	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													1046.417	299.0	4417.927	16698.982	2532.33	723.58	4859.72	18368.88	548.323	156.676	1201.676	4542.123	84.61	2.46	62.17	2.75	0.0	0.0	0.0	0.0	0.15	Medium              	62.17	Pitch Roof-Insul.on Ceiling   	41.0	28549.156	4659.2	1427.63	19.5258	1826.406	583.901	5591.04	2969.47	0	0.0	Other	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Concrete Hollow Block	MAIN	96.88	0.6	No	7	7	Concrete Hollow Block	EXT	42.0	0.55	No	9.0	7.0	300mm Filled Cavity	BRICK FRONT	25.78	0.6	No	7.0	5.0	167029016	5.5623e-07	0.0025					
Galway City	Ground-floor apartment	2003	Existing       	E1	338.92	61.03	0.83	0.0	0.29	2.6	1.36	49.22	0.0	61.03	9.85	1.85	1	73.39	Electricity                   	Electricity                   	100.0	NO	0	79.51	1.0	0.0	0.0	100.0	1.0	1	28	2	2	0	0	0	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	4	NO	0.0	0.0	3	4	1	NO 	0	NO 	NO 	0	NO 	NO 	0	245.632	YES	NO 	NO 	NO 	None                          	None                          	255	0.0	1.08	0.81	Factory Insulated             	50	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													283.744	169.0	3331.909	6085.74	686.66	408.98	6930.37	12658.34	148.682	88.556	1362.751	2489.068	61.03	2.77	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              			100.0			0.0	41.881		0.0	0.0	0.0	0	0.0	Sale	Nov 12 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0															25.11	0.55	No	9	11			24.11	1.13	No	9.0	14.0								68014003	0.074716745601	0.180738489249					
Co. Roscommon	End of terrace house	1994	Existing       	F 	389.6	45.22	0.28	0.13	0.44	1.7	3.0	44.8	45.22	46.22	7.05	1.78	1	111.2	House Coal                    	House Coal                    	60.0	NO	0	110.04	1.0	0.2	100.0	60.0	1.0	28	28	2	2	0	1	3	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.3	2	3	1	NO 	0	NO 	NO 	0	NO 	NO 	0	207.336	YES	NO 	NO 	YES	None                          	None                          	109	0.0	0.6	1.0	None                          	0	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													402.219	169.0	5926.836	3954.364	973.37	408.98	6519.52	4349.8	210.763	88.556	2139.588	1427.525	45.22	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	45.22	Pitch Roof-Insul.on Ceiling   	10.0	13032.309	700.707	1879.183	32.0433	286.589	768.586	1457.47	3908.7	0	0.0	Grant Support	Oct 25 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Front 330MM Cavity with 50mm a	15.85	0.28	No	8	5	300mm Filled Cavity	Gable end 330MM Cavity with 50	15.07	0.28	No	8.0	5.0	300mm Filled Cavity	Back  330MM Cavity with 50mm a	13.88	0.28	No	8.0	5.0	197098009	0.017443147236	0.017443147236					
Dublin 22	Semi-detached house	1980	Existing       	D1	246.8	89.3	1.1	0.49	0.57	2.71	0.0	76.91	44.65	44.65	23.32	0.0	2	47.75	Mains Gas                     	Mains Gas                     	76.0	NO	0	33.07	0.95	0.1	100.0	76.0	0.95	28	28	2	2	1	0	4	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	3	NO	0.0	0.0	2	1	1	NO 	0	NO 	NO 	1	NO 	NO 	0	310.426	YES	NO 	NO 	YES	None                          	None                          	95	0.0	0.6	1.3	Factory Insulated             	30	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													550.116	214.0	3437.382	11010.827	1331.28	517.88	3781.12	12111.91	288.261	112.136	697.789	2235.198	44.65	2.51	44.65	2.73	0.0	0.0	0.0	0.0	0.15	Medium              	44.65	Pitch Roof-Insul.on Ceiling   	62.0	17278.238	1033.668	1032.245	17.8275	422.77	422.188	2150.03	2147.07	0	0.0	Private Letting	Nov 13 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0														Total Exposed Wall Area	76.91	1.1	No	6	10															267053014	0.00354642621	0.0025					
Co. Carlow	Semi-detached house	2005	Existing       	C1	170.19	106.2	0.37	0.2	0.37	2.2	3.0	103.74	53.89	53.9	13.96	4.01	2	42.65	Heating Oil                   	Heating Oil                   	85.3	NO	0	39.43	1.0	0.1	30.0	85.3	1.0	15	28	2	2	1	0	2	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	3	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	346.894	YES	NO 	NO 	YES	None                          	None                          	117	0.0	0.6	1.17	Factory Insulated             	35	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													825.095	299.0	2695.073	6951.0	1996.73	723.58	2964.58	7646.1	432.35	156.676	733.06	1890.672	53.9	2.43	52.3	2.65	0.0	0.0	0.0	0.0	0.15	Medium              	52.3	Pitch Roof-Insul.on Ceiling   	40.0	14093.722	2213.991	1109.563	20.904	816.963	453.811	2435.39	2307.89	0	0.0	Sale	Nov 11 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		103.74	0.37	No	10	4															17051013	5.5623e-07	0.0025					
Co. Kilkenny	Detached house	2011	Final          	B1	83.73	151.3	0.2	0.19	0.18	1.7	1.8	124.07	101.23	86.39	30.12	3.15	2	20.5	Heating Oil                   	Heating Oil                   	93.0	NO	2	30.86	1.0	0.1	72.6	93.0	1.0	15	1	2	2	0	1	4	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	1	NO	0.35	0.0	3	1	2	YES	1	YES	NO 	0	NO 	NO 	0	435.779	YES	NO 	YES	NO 	None                          	None                          	300	0.0	0.6	0.9	Factory Insulated             	75	Boiler with insulated primary 	0	0	3.8	0.73	1.53	1072.0	1.0	YES	150.0		YES	75.0	NO 	NO 													1007.132	435.0	2087.2	5464.191	2437.26	1052.7	2295.92	6010.61	527.737	227.94	567.718	1486.26	86.39	2.44	64.91	2.29	0.0	0.0	0.0	0.0	0.08	Medium              	39.08	Pitch Roof-Insul.on Rafter    	52.0		792.218		12.8486	292.328		871.44	0.0	0	0.0	New dwelling for owner occupat	Apr  4 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity	300mm Cavity with 60mm Kingspa	77.47	0.2	No	0	4	Timber Frame	Semi exposed dwarf walls 100mm	26.78	0.19	No	0.0	8.0	Timber Frame	Sides of Dormer walls 100mm Ki	10.92	0.2	No	0.0	8.0							0.672	0.575
Co. Tipperary	Semi-detached house	1900	Existing       	D2	280.82	173.56	0.5	1.37	0.44	2.6	3.0	129.65	145.05	103.58	33.84	4.01	2	72.13	Heating Oil                   	Heating Oil                   	79.0	NO	0	42.3	0.95	0.1	30.0	79.0	0.95	15	1	2	2	1	0	1	0	YES	Natural vent.	0	0	Masonry                       	No                            	76	3	NO	0.0	0.0	2	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	475.154	YES	NO 	NO 	NO 	None                          	None                          	110	0.0	0.6	1.17	None                          	0	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													1561.479	299.0	11486.191	22479.927	3778.78	723.58	12634.81	24727.92	818.215	156.676	3124.244	6114.54	103.58	2.06	40.01	2.48	0.0	0.0	0.0	0.0	0.15	Medium-high         	79.139	Room in Roof-Insul.on side    	0.0		6248.591		16.4266	2305.73		6873.45	0.0	0	29.97	Sale	Nov 14 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	MAIN EXT	73.31	0.37	No	10	5	300mm Filled Cavity	BATHROOM/UTILITY	16.12	0.37	No	10.0	5.0	Stone	ORIGINAL DRYLINED	15.95	1.41	No	2.0	1.0	217038001	1.737855e-06	0.0025					
Co. Roscommon	Mid-terrace house	1994	Existing       	E1	309.43	45.71	0.28	0.13	0.41	1.7	3.0	34.93	45.71	45.71	5.85	1.75	1	91.15	Sod Peat                      	Sod Peat                      	60.0	NO	0	90.96	1.0	0.2	100.0	60.0	1.0	28	28	2	2	0	1	3	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.3	2	3	1	NO 	0	NO 	NO 	0	NO 	NO 	0	208.499	YES	NO 	NO 	YES	None                          	None                          	109	0.0	0.6	1.0	Loose Jacket                  	25	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													424.227	169.0	3434.073	4635.155	1026.63	408.98	3777.48	5098.67	222.295	88.556	1287.777	1738.183	45.71	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	45.71	Pitch Roof-Insul.on Ceiling   	10.0	10505.003	820.875	1021.673	41.3476	335.738	417.864	1707.42	2125.08	0	0.0	Grant Support	Oct 25 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Front 330MM Cavity with 50mm a	18.46	0.28	No	8	5	300mm Filled Cavity	Back  330MM Cavity with 50mm a	16.47	0.28	No	8.0	5.0															
Co. Cork	Semi-detached house	1978	Existing       	B3	130.88	80.58	0.3	0.13	0.57	1.9	3.0	78.61	40.29	40.29	10.9	3.7	2	32.72	Heating Oil                   	Heating Oil                   	94.8	NO	0	35.35	1.0	0.1	60.0	94.8	1.0	15	1	2	2	0	1	0	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	1	NO	0.0	0.0	3	1	1	YES	1	YES	YES	0	NO 	NO 	0	290.905	YES	NO 	NO 	NO 	None                          	None                          	100	0.0	0.6	0.9	Factory Insulated             	20	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													388.814	230.0	3179.564	4278.027	940.93	556.6	3497.52	4705.83	203.739	120.52	864.841	1163.623	40.29	2.45	40.29	2.7	0.0	0.0	0.0	0.0	0.15	Medium              	40.29	Pitch Roof-Insul.on Ceiling   	100.0		768.818		14.892	283.694		845.7	0.0	0	0.0	Grant Support	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		78.61	0.3	No	6	4															47268002	0.001049684724	0.017443147236					
Co. Cork	Mid-terrace house	1950	Existing       	C2	191.55	70.2	0.6	0.13	0.61	2.0	3.0	35.91	35.1	35.1	13.82	2.29	2	38.71	Mains Gas                     	Mains Gas                     	91.2	NO	0	36.94	0.95	0.1	30.0	91.2	0.95	8	1	2	2	1	0	0	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	0	NO 	NO 	0	NO 	NO 	0	267.147	YES	NO 	NO 	NO 	None                          	None                          	110	0.0	0.6	0.9	Factory Insulated             	0	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													505.802	130.0	6266.918	3363.527	1224.04	314.6	6893.61	3699.88	265.04	68.12	1272.184	682.796	35.1	2.45	35.1	2.45	0.0	0.0	0.0	0.0	0.15	Medium              	35.1	Pitch Roof-Insul.on Ceiling   	40.0		1095.333		18.9886	429.371		1314.4	0.0	0	0.0	Grant Support	Oct 30 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity		35.91	0.6	No	4	5															48039001	0.000448030455	0.0025					
Dublin 7	End of terrace house	1945	Existing       	D1	246.96	69.04	0.34	0.13	0.84	5.66	1.71	70.54	34.52	34.52	12.07	1.85	2	47.55	Mains Gas                     	Mains Gas                     	71.8	NO	0	38.92	0.95	0.0	0.0	71.8	0.95	1	28	2	2	0	0	3	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	4	NO	0.0	0.0	2	1	1	NO 	0	NO 	NO 	1	NO 	NO 	0	264.488	YES	NO 	NO 	YES	None                          	None                          	140	0.0	0.6	1.3	Loose Jacket                  	50	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													554.938	214.0	3874.8	7745.909	1342.95	517.88	4262.28	8520.5	290.788	112.136	786.584	1572.42	34.52	2.42	34.52	2.61	0.0	0.0	0.0	0.0	0.15	Medium              	34.52	Pitch Roof-Insul.on Ceiling   	20.0			1157.01	24.8407		473.217	0.0	2406.58	1	0.0	Grant Support	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity	Pumped cavity with 80mm bead	70.1	0.33	No	3	4	300mm Cavity	Semi exposed	0.44	1.232	Yes	3.0	4.0								268034003	7.2453471e-05	0.0025					
